job_title,company_name,company_location,Job_link,post_date
Machine Learning Engineer,Fusemachines,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/machine-learning-engineer-at-fusemachines-3490754245?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=6mN0N7mRR5%2BlRcgWApIOPQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-01-25
Data Scientist Jr,Yom Mercado,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/data-scientist-jr-at-yom-mercado-3499216200?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=HalGxal2%2F3vLfQp%2F5eGMGQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-02-24
Analista de Datos,Kangu,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/analista-de-datos-at-kangu-3531387594?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=CkTXbeWOpCGyXrLQk0Uylg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-03-16
Data Scientist,BICE VIDA,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/data-scientist-at-bice-vida-3547254265?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=%2FzVdCq9obSe%2BZsuDmca91w%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-03-28
Data Scientist Full time,BICE VIDA,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/data-scientist-full-time-at-bice-vida-3531512232?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=k7hKJAueKY8OlaX2Q%2FqaFA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-03-17
Machine learning,Michael Page,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/machine-learning-at-michael-page-3550297314?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=JyBkEl3x%2FsQxFEFJ0Ty73w%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-04-05
Machine Learning Engineer,NeuralWorks,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/machine-learning-engineer-at-neuralworks-3499216134?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=X7DkBqKxdoO5Q0Jz6UhoHQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-02-24
AI Software Developer - Work in Sweden,Iknal Semikan,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/ai-software-developer-work-in-sweden-at-iknal-semikan-3567562394?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=uJ43QiRksboGG1oBKxft1g%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-03-19
Machine learning,Page Personnel,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/machine-learning-at-page-personnel-3557698944?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=95WqBpDAJz7kjVAH0inh4Q%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-04-05
(JG) Data Scientist – Contrato Indefinido.,BC Tecnología,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/jg-data-scientist-%E2%80%93-contrato-indefinido-at-bc-tecnolog%C3%ADa-3560880203?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=8UE9gfXhY16p50PcXwHhdw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-04-11
Data Scientist Senior,Acid Labs,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/data-scientist-senior-at-acid-labs-3567765368?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=CwQcItEbmxITTFd%2BC%2FOVOQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-04-15
Ingenieros Data Scientist,GlobalConexus,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/ingenieros-data-scientist-at-globalconexus-3549037022?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=Ap7ZWWiT09HCFbGVNYn2WA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-03-30
Data Scientist,Stefanini Group,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/data-scientist-at-stefanini-group-3509463539?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=hdsXQNZfjFXojYGkdD0gVg%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-03-07
Analista de Datos,Chilexpress,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/analista-de-datos-at-chilexpress-3550743158?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=gp0UDzaUxkjijpglfbNTgw%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-03-31
ML Engineer - Audio Signal Processing,Fusemachines,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/ml-engineer-audio-signal-processing-at-fusemachines-3495920018?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=6zrMaymlujBywFSKA0PXeA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-01-28
Data Scientist,MyDNA,Área metropolitana de Santiago,https://cl.linkedin.com/jobs/view/data-scientist-at-mydna-3509241918?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=xYN9kp4OjZrlIMec2DuFyg%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-02-08
Machine Learning Engineer GCP– Contrato Indefinido.,BC Tecnología,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/machine-learning-engineer-gcp%E2%80%93-contrato-indefinido-at-bc-tecnolog%C3%ADa-3525201131?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=AxQZe1Dg2VUzijRx%2Bqfv2w%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-03-15
Analista de Datos Maestros - Las Condes (Hibrido),GRUPOEXPRO,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/analista-de-datos-maestros-las-condes-hibrido-at-grupoexpro-3556439861?refId=d4OIpQkcyRjiC6u7gdGYFQ%3D%3D&trackingId=MyIIyfU286l2BtQwd6CnPQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,2023-04-06
